size;time;type;grid_size;block_size
16384;1373.902832;optimised_shared;2048;8
16384;0.000000;optimised_shared;4096;8
16384;0.000000;optimised_shared;4096;8
16384;0.000000;optimised_shared;8192;8
16384;0.000000;optimised_shared;8192;8
16384;2630.299316;optimised_shared;1024;8
16384;1224.463257;optimised_shared;1024;8
16384;1478.916138;optimised_shared;512;8
16384;862.334412;optimised_shared;512;8
16384;1723.132080;optimised_shared;1024;16
16384;1092.104614;optimised_shared;1024;16
16384;0.000000;optimised_shared;2048;16
16384;0.000000;optimised_shared;2048;16
16384;0.000000;optimised_shared;4096;16
16384;0.000000;optimised_shared;4096;16
16384;2278.883789;optimised_shared;512;16
16384;1293.633179;optimised_shared;512;16
16384;1234.414795;optimised_shared;256;16
16384;1368.718140;optimised_shared;256;16
16384;804.152893;optimised_shared;512;32
16384;1722.877319;optimised_shared;512;32
16384;0.000000;optimised_shared;1024;32
16384;0.000000;optimised_shared;1024;32
16384;0.000000;optimised_shared;2048;32
16384;0.000000;optimised_shared;2048;32
16384;2621.922852;optimised_shared;256;32
16384;1229.160889;optimised_shared;256;32
16384;1648.419312;optimised_shared;128;32
16384;1804.805542;optimised_shared;128;32
16384;1011.937927;optimised_shared;256;64
16384;783.955017;optimised_shared;256;64
16384;1618.017456;optimised_shared;512;64
16384;1355.163696;optimised_shared;512;64
16384;1162.089966;optimised_shared;1024;64
16384;1331.926025;optimised_shared;1024;64
16384;801.108154;optimised_shared;128;64
16384;1093.918091;optimised_shared;128;64
16384;781.325500;optimised_shared;64;64
16384;749.998901;optimised_shared;64;64
16384;858.184082;optimised_shared;128;128
16384;1555.276123;optimised_shared;128;128
16384;879.086060;optimised_shared;256;128
16384;718.875122;optimised_shared;256;128
16384;746.381348;optimised_shared;512;128
16384;731.202515;optimised_shared;512;128
16384;1041.739624;optimised_shared;64;128
16384;943.618103;optimised_shared;64;128
16384;1327.757080;optimised_shared;32;128
16384;778.072388;optimised_shared;32;128
16384;757.230957;optimised_shared;64;256
16384;848.715210;optimised_shared;64;256
16384;857.260559;optimised_shared;128;256
16384;1532.203247;optimised_shared;128;256
16384;770.550598;optimised_shared;256;256
16384;975.393860;optimised_shared;256;256
16384;749.375183;optimised_shared;32;256
16384;766.767517;optimised_shared;32;256
16384;1249.304199;optimised_shared;16;256
16384;842.061768;optimised_shared;16;256
16384;961.778198;optimised_shared;32;512
16384;917.277710;optimised_shared;32;512
16384;767.197876;optimised_shared;64;512
16384;719.527893;optimised_shared;64;512
16384;870.407471;optimised_shared;128;512
16384;1066.140259;optimised_shared;128;512
16384;1094.656006;optimised_shared;16;512
16384;806.843811;optimised_shared;16;512
16384;763.966675;optimised_shared;8;512
16384;753.119751;optimised_shared;8;512
16384;779.039062;optimised_shared;16;1024
16384;788.226868;optimised_shared;16;1024
16384;805.283508;optimised_shared;32;1024
16384;1178.888672;optimised_shared;32;1024
16384;992.202271;optimised_shared;64;1024
16384;762.311096;optimised_shared;64;1024
16384;757.523682;optimised_shared;8;1024
16384;758.549377;optimised_shared;8;1024
16384;769.705444;optimised_shared;4;1024
16384;1562.786377;optimised_shared;4;1024
16384;732.549011;optimised_shared;8;2048
16384;767.934448;optimised_shared;8;2048
16384;824.021179;optimised_shared;16;2048
16384;755.659851;optimised_shared;16;2048
16384;763.299744;optimised_shared;32;2048
16384;710.654602;optimised_shared;32;2048
16384;704.127563;optimised_shared;4;2048
16384;847.353088;optimised_shared;4;2048
16384;1076.876221;optimised_shared;2;2048
16384;1296.709229;optimised_shared;2;2048
65536;0.000000;optimised_shared;8192;8
65536;0.000000;optimised_shared;8192;8
65536;0.000000;optimised_shared;16384;8
65536;0.000000;optimised_shared;16384;8
65536;0.000000;optimised_shared;32768;8
65536;0.000000;optimised_shared;32768;8
65536;0.000000;optimised_shared;4096;8
65536;0.000000;optimised_shared;4096;8
65536;0.000000;optimised_shared;2048;8
65536;0.000000;optimised_shared;2048;8
65536;0.000000;optimised_shared;4096;16
65536;0.000000;optimised_shared;4096;16
65536;0.000000;optimised_shared;8192;16
65536;0.000000;optimised_shared;8192;16
65536;0.000000;optimised_shared;16384;16
65536;0.000000;optimised_shared;16384;16
65536;0.000000;optimised_shared;2048;16
65536;0.000000;optimised_shared;2048;16
65536;0.000000;optimised_shared;1024;16
65536;0.000000;optimised_shared;1024;16
65536;0.000000;optimised_shared;2048;32
65536;0.000000;optimised_shared;2048;32
65536;0.000000;optimised_shared;4096;32
65536;0.000000;optimised_shared;4096;32
65536;0.000000;optimised_shared;8192;32
65536;0.000000;optimised_shared;8192;32
65536;0.000000;optimised_shared;1024;32
65536;0.000000;optimised_shared;1024;32
65536;0.000000;optimised_shared;512;32
65536;0.000000;optimised_shared;512;32
65536;0.004096;optimised_shared;1024;64
65536;0.005120;optimised_shared;1024;64
65536;0.005120;optimised_shared;2048;64
65536;0.005120;optimised_shared;2048;64
65536;0.005120;optimised_shared;4096;64
65536;0.005120;optimised_shared;4096;64
65536;0.004096;optimised_shared;512;64
65536;0.005120;optimised_shared;512;64
65536;0.005120;optimised_shared;256;64
65536;0.005120;optimised_shared;256;64
65536;0.004096;optimised_shared;512;128
65536;0.005120;optimised_shared;512;128
65536;0.005120;optimised_shared;1024;128
65536;0.005120;optimised_shared;1024;128
65536;0.004096;optimised_shared;2048;128
65536;0.005120;optimised_shared;2048;128
65536;0.005120;optimised_shared;256;128
65536;0.005120;optimised_shared;256;128
65536;0.004096;optimised_shared;128;128
65536;0.005120;optimised_shared;128;128
65536;0.004096;optimised_shared;256;256
65536;0.005120;optimised_shared;256;256
65536;0.004096;optimised_shared;512;256
65536;0.005120;optimised_shared;512;256
65536;0.004096;optimised_shared;1024;256
65536;0.004096;optimised_shared;1024;256
65536;0.005120;optimised_shared;128;256
65536;0.005120;optimised_shared;128;256
65536;0.005120;optimised_shared;64;256
65536;0.005120;optimised_shared;64;256
65536;0.005120;optimised_shared;128;512
65536;0.005120;optimised_shared;128;512
65536;0.005120;optimised_shared;256;512
65536;0.005120;optimised_shared;256;512
65536;0.005120;optimised_shared;512;512
65536;0.005120;optimised_shared;512;512
65536;0.005120;optimised_shared;64;512
65536;0.004096;optimised_shared;64;512
65536;0.005120;optimised_shared;32;512
65536;0.005120;optimised_shared;32;512
65536;0.005120;optimised_shared;64;1024
65536;0.005120;optimised_shared;64;1024
65536;0.005120;optimised_shared;128;1024
65536;0.005120;optimised_shared;128;1024
65536;0.004096;optimised_shared;256;1024
65536;0.004096;optimised_shared;256;1024
65536;0.005120;optimised_shared;32;1024
65536;0.005120;optimised_shared;32;1024
65536;0.005120;optimised_shared;16;1024
65536;0.004096;optimised_shared;16;1024
65536;0.031744;optimised_shared;32;2048
65536;0.005120;optimised_shared;32;2048
65536;0.005120;optimised_shared;64;2048
65536;0.005120;optimised_shared;64;2048
65536;0.005120;optimised_shared;128;2048
65536;0.005120;optimised_shared;128;2048
65536;0.005120;optimised_shared;16;2048
65536;0.005120;optimised_shared;16;2048
65536;0.006144;optimised_shared;8;2048
65536;0.005120;optimised_shared;8;2048
131072;0.000000;optimised_shared;16384;8
131072;0.000000;optimised_shared;16384;8
131072;0.000000;optimised_shared;32768;8
131072;0.000000;optimised_shared;32768;8
